id	source	sent1	image1	sent2	image2	sim
coco-10053	coco	A person in a white jacket skiing down a slope	images/coco/COCO_val2014_000000166624.jpg	A person skiing down a snowy mountain side .	images/coco/COCO_val2014_000000548090.jpg	4.6
coco-10068	coco	a couple of people are standing on a tennis court	images/coco/COCO_val2014_000000499884.jpg	Three men holding tennis rackets are standing on a tennis court .	images/coco/COCO_train2014_000000383569.jpg	2.8
coco-1009	coco	A man and a woman riding bikes on a path through a wooded area .	images/coco/COCO_train2014_000000515505.jpg	A man wearing a red tie holding it up with his hands .	images/coco/COCO_val2014_000000221350.jpg	0
coco-10123	coco	A girl is holding a baseball bat near a rustic house .	images/coco/COCO_train2014_000000049301.jpg	A girl is throwing a Frisbee near some tents at a campground .	images/coco/COCO_val2014_000000415153.jpg	1.5
coco-10207	coco	a man is riding a horse near a course	images/coco/COCO_train2014_000000170162.jpg	A man and a woman riding on their motorcycles	images/coco/COCO_train2014_000000475769.jpg	1.2
coco-10216	coco	A young child is playing baseball next to a fence .	images/coco/COCO_train2014_000000435940.jpg	A young man playing a fielding position on a baseball field .	images/coco/COCO_train2014_000000371702.jpg	2.6
coco-10245	coco	a number of people sitting at a bar with wine glasses	images/coco/COCO_train2014_000000561464.jpg	A bed sitting inside of a bedroom next to a sliding glass door .	images/coco/COCO_train2014_000000268444.jpg	0.6
coco-10290	coco	A man on a bike riding on the beach at sunset .	images/coco/COCO_train2014_000000502362.jpg	A man with a lasso riding on a horse on the beach .	images/coco/COCO_train2014_000000516084.jpg	2
coco-10386	coco	A group of people standing and sitting around a table .	images/coco/COCO_train2014_000000426246.jpg	A group of people at a dining table eating and drinking .	images/coco/COCO_train2014_000000225566.jpg	3.6
coco-10466	coco	A herd of zebra standing on top of a lush green field .	images/coco/COCO_train2014_000000266093.jpg	A giraffe standing on top of a dry grass field .	images/coco/COCO_val2014_000000400336.jpg	1.8
coco-10488	coco	A man riding a skateboard on a street .	images/coco/COCO_val2014_000000452611.jpg	A man riding a skateboard up the side of a ramp .	images/coco/COCO_val2014_000000272323.jpg	2.75
coco-10553	coco	A dog in the side mirror of a car in the back seat .	images/coco/COCO_train2014_000000403360.jpg	A boy standing in front of his class holding a hot dog in each hand .	images/coco/COCO_val2014_000000179898.jpg	0
coco-10592	coco	A man on a surfboard riding a wave on the ocean .	images/coco/COCO_train2014_000000284131.jpg	A man riding a skateboard up the side of a ramp .	images/coco/COCO_train2014_000000435010.jpg	1.4
coco-10623	coco	A bathroom with a white toilet and sink .	images/coco/COCO_val2014_000000495984.jpg	A brown and white sink sitting in a bathroom .	images/coco/COCO_train2014_000000457017.jpg	3.5
coco-10674	coco	A train sitting on a track in a field near a bridge .	images/coco/COCO_val2014_000000151135.jpg	A train sits on a track just past a railroad crossing .	images/coco/COCO_val2014_000000334513.jpg	3.8
coco-10678	coco	A street sign and a clock sitting by a parked train .	images/coco/COCO_train2014_000000461464.jpg	A lady holding a bag and covering herself with umbrella on the street .	images/coco/COCO_val2014_000000396820.jpg	0.5
coco-10728	coco	A large black and white horse has long hair .	images/coco/COCO_val2014_000000512467.jpg	A large plane is being flanked by two smaller jets .	images/coco/COCO_train2014_000000370363.jpg	0
coco-10730	coco	A person standing next to a red truck .	images/coco/COCO_val2014_000000171539.jpg	A young man standing next to a racecar on a display lot .	images/coco/COCO_val2014_000000408364.jpg	2.8
coco-10774	coco	A kitchen area with multiple white cabinets and papers .	images/coco/COCO_val2014_000000438495.jpg	A very nice kitchen with some big shelf filled wit items .	images/coco/COCO_train2014_000000235683.jpg	1.75
coco-10776	coco	A person in black jacket skiing down a steep mountain slope .	images/coco/COCO_train2014_000000324692.jpg	A person in blue jacket snowboarding down a hill .	images/coco/COCO_train2014_000000419571.jpg	4
coco-10926	coco	a woman with a tennis racket is on a court	images/coco/COCO_train2014_000000251938.jpg	a man is swinging his racket on a tennis court	images/coco/COCO_val2014_000000130849.jpg	3
coco-10929	coco	A group of young men play with a Frisbee in front of some houses .	images/coco/COCO_train2014_000000028318.jpg	A group of men on a field playing baseball .	images/coco/COCO_train2014_000000208511.jpg	0.75
coco-10938.1	coco	two people in a small boat in a body of water	images/coco/COCO_val2014_000000389123.jpg	A surfer rides the crest of a small wave .	images/coco/COCO_val2014_000000396821.jpg	2
coco-10938.2	coco	a man holding a frisbee in his hand	images/coco/COCO_train2014_000000162828.jpg	A man standing in a kitchen petting a cat sitting on a counter .	images/coco/COCO_train2014_000000060769.jpg	0.8
coco-1097	coco	Several men admiring a motorcycle at a show	images/coco/COCO_train2014_000000028480.jpg	a woman holding a pizza box standing next to a motorcycle .	images/coco/COCO_train2014_000000040535.jpg	1.4
coco-11045	coco	A woman in a skirt preparing to hit a ball while playing tennis .	images/coco/COCO_val2014_000000032081.jpg	A woman dressed in black and white gear , skiing down a slope .	images/coco/COCO_val2014_000000166624.jpg	0
coco-11047	coco	A man riding a snowboard on eh side of a snow covered slope .	images/coco/COCO_train2014_000000284861.jpg	A lot of people riding ski lifts and standing on a ski slope .	images/coco/COCO_train2014_000000276749.jpg	1.8
coco-11065	coco	A cow resting on a beach with an island in the background .	images/coco/COCO_train2014_000000130655.jpg	Food sitting on a wooden table with decor in the background .	images/coco/COCO_val2014_000000011172.jpg	0
coco-11079	coco	Two stuffed animals sitting on a bed next to each other .	images/coco/COCO_train2014_000000528832.jpg	Dog on leash stands next to bicycle with orange rims..	images/coco/COCO_train2014_000000305283.jpg	0
coco-11124	coco	A laptop sitting on top of a counter in a kitchen .	images/coco/COCO_train2014_000000107424.jpg	A white stove top oven sitting inside of a kitchen .	images/coco/COCO_train2014_000000539553.jpg	1.8
coco-1115	coco	A kid in winter gear stands in the snow .	images/coco/COCO_train2014_000000088287.jpg	A man on skis stands in the snow at the water 's edge .	images/coco/COCO_train2014_000000277379.jpg	2.8
coco-11198	coco	A man riding a snowboard down a snow covered slope .	images/coco/COCO_train2014_000000002470.jpg	A man is riding a wave on a surfboard .	images/coco/COCO_train2014_000000328688.jpg	1.6
coco-11247.1	coco	A vase sitting on a table with a sunflower in it .	images/coco/COCO_train2014_000000053176.jpg	A coffee cup sitting on top of a wooden table .	images/coco/COCO_train2014_000000435766.jpg	2
coco-11247.2	coco	a couple of people are wearing skis in the snow	images/coco/COCO_val2014_000000282618.jpg	A group of people on skis standing in a line .	images/coco/COCO_train2014_000000401558.jpg	3.4
coco-113	coco	Two dogs stand in the snow inside a fence .	images/coco/COCO_val2014_000000359569.jpg	Sheep standing in the snow and a dog in front .	images/coco/COCO_train2014_000000177628.jpg	2.4
coco-11304	coco	A woman holding a blue umbrella over her head .	images/coco/COCO_train2014_000000443604.jpg	A bride and groom exiting a church holding clear plastic bubble umbrellas	images/coco/COCO_train2014_000000417619.jpg	2.2
coco-11316	coco	A man and young boy cross-country ski in a snow covered field .	images/coco/COCO_train2014_000000404204.jpg	A man riding skis down a snow covered ski slope .	images/coco/COCO_train2014_000000556527.jpg	3
coco-11337	coco	a man holding a child next to a double decker bus .	images/coco/COCO_train2014_000000347784.jpg	A women standing next to a trolley crossing sign	images/coco/COCO_train2014_000000197383.jpg	1.2
coco-11344	coco	a man sits in front of a plate of cake	images/coco/COCO_train2014_000000430950.jpg	A man with a hotdog in one hand and a piece of bread in the other .	images/coco/COCO_val2014_000000051335.jpg	2.2
coco-11349	coco	a man on a bike next to a fire hydrant	images/coco/COCO_train2014_000000437522.jpg	A group of elephants standing next to a crowd of people .	images/coco/COCO_train2014_000000297645.jpg	0
coco-11356	coco	A woman pets a large elephant while a man watches .	images/coco/COCO_train2014_000000296747.jpg	A girl pets an elephant 's trunk while a man stands nearby .	images/coco/COCO_train2014_000000453299.jpg	3.75
coco-11482	coco	A couple of men riding surfboards on top of a wave .	images/coco/COCO_val2014_000000408746.jpg	A man riding on top of a wave on a surfboard .	images/coco/COCO_val2014_000000390246.jpg	3.5
coco-11555	coco	A black and white dog on a grass field jumping up to get a frisbee .	images/coco/COCO_train2014_000000436802.jpg	A person riding on the back of a white horse through a dirt field .	images/coco/COCO_val2014_000000033672.jpg	0.4
coco-11620	coco	A bus sits parked next to a stand of trees .	images/coco/COCO_val2014_000000254653.jpg	A small elephant standing on a dirt field next to trees .	images/coco/COCO_val2014_000000468005.jpg	0.8
coco-11664	coco	A cow stands on a grassy are near a mountain .	images/coco/COCO_val2014_000000317531.jpg	A large number of people outside near some flowers and a road .	images/coco/COCO_train2014_000000150636.jpg	0
coco-11749	coco	A wooden tray with a plate of salad and bowl of meat .	images/coco/COCO_train2014_000000081964.jpg	A person 's hand holding a napkin with a grilled hot dog in a bun .	images/coco/COCO_train2014_000000467878.jpg	1.25
coco-11882	coco	A man jumping up in the air catching a frisbee under his leg .	images/coco/COCO_train2014_000000579920.jpg	A man jumping in the air trying to block another guy from throwing a frisbee .	images/coco/COCO_val2014_000000476903.jpg	2.6
coco-11908	coco	A man holding a tennis racquet on a tennis court .	images/coco/COCO_val2014_000000343524.jpg	A woman holding a tennis racquet on a court .	images/coco/COCO_train2014_000000236385.jpg	2.8
coco-11919	coco	A row of motorcycles on street next to car and people .	images/coco/COCO_train2014_000000340226.jpg	A display of a race car and motorcycle .	images/coco/COCO_train2014_000000358767.jpg	2
coco-11927	coco	A couple of children wearing blue t-shirts hold baseball mitts in a park area .	images/coco/COCO_val2014_000000337233.jpg	A steam engine style train pulling passengers in a park .	images/coco/COCO_train2014_000000110984.jpg	0.2
coco-12003	coco	A very big elephant that is keeping an eye on the photographer .	images/coco/COCO_val2014_000000408221.jpg	A group of people seems to be bathing an elephant .	images/coco/COCO_train2014_000000315960.jpg	2
coco-12050	coco	A baseball player hitting a ball with a bat .	images/coco/COCO_train2014_000000553046.jpg	A tennis player forcefully hits a tennis ball .	images/coco/COCO_val2014_000000500062.jpg	1.4
coco-12084	coco	A toasted sandwich on a table by a glass of water	images/coco/COCO_train2014_000000460565.jpg	A large pepperoni pizza sitting on a metal tray .	images/coco/COCO_train2014_000000381251.jpg	0.5
coco-12095	coco	A man taking a swing at a tennis ball	images/coco/COCO_train2014_000000281293.jpg	A tennis player swinging a racket at a tennis ball .	images/coco/COCO_train2014_000000171665.jpg	4.2
coco-1211	coco	A lone bear is walking in the woods .	images/coco/COCO_val2014_000000536292.jpg	A black bear is standing next to rocks by the water	images/coco/COCO_train2014_000000454832.jpg	2.4
coco-12159	coco	A man riding a skateboard on top of a stack of orange blocks .	images/coco/COCO_train2014_000000339358.jpg	A young man standing on top of a green field .	images/coco/COCO_val2014_000000320370.jpg	0.4
coco-12164	coco	A crowd of people standing around a buffet table .	images/coco/COCO_train2014_000000518451.jpg	Three children playing in a living room around a table .	images/coco/COCO_train2014_000000421108.jpg	0
coco-12208	coco	A black and white cow standing in a market	images/coco/COCO_val2014_000000250804.jpg	A black and white cat laying on top of a computer keyboard .	images/coco/COCO_train2014_000000401287.jpg	0.4
coco-12251	coco	A horse is pulling a carriage with a red blanket .	images/coco/COCO_val2014_000000096420.jpg	A brown horse with blonde hair pulling a white carriage .	images/coco/COCO_train2014_000000271949.jpg	4
coco-1228	coco	Two sheep grazing on green grass in a field .	images/coco/COCO_train2014_000000239728.jpg	A herd of sheep on a grass field .	images/coco/COCO_train2014_000000019338.jpg	3.8
coco-12329	coco	A person taking a picture of themselves with a cell phone .	images/coco/COCO_train2014_000000236509.jpg	A woman laughs as she reads a message on her phone .	images/coco/COCO_train2014_000000170877.jpg	1.75
